Name,mail_Id,Plan,Phone
helo,helo@gmail.com,Free,9876543211
pooja,pooja@gmail.com,Starter,8765432111
dhana,dhana@gmail.com,Professional,7896543210
123,1236@gmail.com,Free,6789054321
ddd,ddd@gmail.com,Starter,9786543210
admin,admin@gmail.com,Professional,7890654321
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Free,
,,Professional,
,,Starter,
,,Professional,
,,Starter,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Professional,
,,Free,
,,Starter,
,,Professional,
,,Professional,
