username,mail_Id,phone no,Plan
abc,helo@gmail.com,,Free
pooja,pooja@gmail.com,,Starter
sam,dhana@gmail.com,,Professional
john,1234@gmail.com,,Professional
,,,Starter
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Free
,,,Professional
,,,Starter
,,,Professional
,,,Starter
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Professional
,,,Free
,,,Starter
,,,Professional
,,,Professional
